year,Neutrogena Ultra Sheer,La Roche-Posay Anthelios,CeraVe sunscreen,Supergoop Unseen
2021,10.170731707317072,2.8536585365853657,35.853658536585364,8.75609756097561
2022,8.211538461538462,3.6153846153846154,32.26923076923077,11.076923076923077
2023,7.735849056603773,4.056603773584905,36.54716981132076,9.981132075471699
2024,7.6923076923076925,4.884615384615385,32.76923076923077,8.461538461538462
2025,10.0,14.461538461538462,35.61538461538461,9.5
2026,11.666666666666666,27.916666666666668,48.333333333333336,9.5
